identifiant,source_audit,categorie,emplacement,description,preuve_audit,cause_reelle,dans_10_premieres_minutes,lot,statut,test_associe,capture_avant,capture_apres,commit,justification_report
dungeon.Room1Initiation,DONJON_VERDICTS.csv,donjon/ORANGE_PARTIEL,Room1Initiation,Pierre/ambre/cyan cohérents; espace et objectif central compréhensibles | défauts : Bloc central et plusieurs props restent des cuboïdes unis,interieurs_donjon/donjon/salle_1_initiation_*.jpg,À DIAGNOSTIQUER (par salle),NON,hors tranche (donjon),REPORTÉ AU BACKLOG,—,—,—,—,audit : mécanismes cubiques à terminer APRÈS validation de l'ouverture
dungeon.Room2Vertical,DONJON_VERDICTS.csv,donjon/ORANGE_PARTIEL,Room2Vertical,Verticalité et rail lumineux donnent une identité nette | défauts : Nombreux blocs bruns; géométrie masque certaines vues; habillage peu varié,interieurs_donjon/donjon/salle_2_verticale_*.jpg,À DIAGNOSTIQUER (par salle),NON,hors tranche (donjon),REPORTÉ AU BACKLOG,—,—,—,—,audit : mécanismes cubiques à terminer APRÈS validation de l'ouverture
dungeon.Room3Relays,DONJON_VERDICTS.csv,donjon/ORANGE_PARTIEL,Room3Relays,Relais et piliers différencient la salle | défauts : Mécanismes en primitives et grands murs réguliers,interieurs_donjon/donjon/salle_3_relais_*.jpg,À DIAGNOSTIQUER (par salle),NON,hors tranche (donjon),REPORTÉ AU BACKLOG,—,—,—,—,audit : mécanismes cubiques à terminer APRÈS validation de l'ouverture
dungeon.Room4Battery,DONJON_VERDICTS.csv,donjon/ORANGE_PARTIEL,Room4Battery,"Canaux d'eau/énergie et niveaux rendent la logique visible | défauts : Accumulation de cubes, plateformes rectangulaires et plafond massif",interieurs_donjon/donjon/salle_4_batterie_*.jpg,À DIAGNOSTIQUER (par salle),NON,hors tranche (donjon),REPORTÉ AU BACKLOG,—,—,—,—,audit : mécanismes cubiques à terminer APRÈS validation de l'ouverture
dungeon.CentralHall,DONJON_VERDICTS.csv,donjon/JAUNE_LISIBLE,CentralHall,"Salle la plus cohérente; deux niveaux, rampes, pierre et lumière motivée | défauts : Plan encore très rectangulaire et détails modulaires répétitifs",interieurs_donjon/donjon/hall_central_*.jpg,À DIAGNOSTIQUER (par salle),NON,hors tranche (donjon),REPORTÉ AU BACKLOG,—,—,—,—,audit : mécanismes cubiques à terminer APRÈS validation de l'ouverture
dungeon.Antechamber,DONJON_VERDICTS.csv,donjon/ORANGE_PARTIEL,Antechamber,"Transition sombre et porte boss lisibles | défauts : Espace sparse, colonnes/blocs simples et peu de préparation visuelle au climax",interieurs_donjon/donjon/antichambre_*.jpg,À DIAGNOSTIQUER (par salle),NON,hors tranche (donjon),REPORTÉ AU BACKLOG,—,—,—,—,audit : mécanismes cubiques à terminer APRÈS validation de l'ouverture
dungeon.BossArena,DONJON_VERDICTS.csv,donjon/JAUNE_LISIBLE,BossArena,"Silhouette circulaire, lignes lumineuses et boss immédiatement repérables | défauts : Arène nue, piliers répétés, grandes surfaces unies et climax peu spectaculaire",interieurs_donjon/donjon/arene_boss_*.jpg,À DIAGNOSTIQUER (par salle),NON,hors tranche (donjon),REPORTÉ AU BACKLOG,—,—,—,—,audit : mécanismes cubiques à terminer APRÈS validation de l'ouverture
ui.01,INTERFACES_VERDICTS.csv,interface/ROUGE_PRESENTATION,Menu sans sauvegarde,FONCTIONNEL — Fond uniforme et très peu d'identité visuelle; ne montre pas le jeu,interfaces/01_menu_sans_sauvegarde.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.02,INTERFACES_VERDICTS.csv,interface/ROUGE_PRESENTATION,Menu avec Continuer,FONCTIONNEL — Même écran presque vide; différence d'état uniquement textuelle,interfaces/02_menu_avec_continuer.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.03,INTERFACES_VERDICTS.csv,interface/ORANGE,Confirmation d'écrasement,FONCTIONNEL — Confirmation par second appui et texte discret plutôt que vraie modalité visuelle,interfaces/03_menu_confirmation_ecrasement.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.04,INTERFACES_VERDICTS.csv,interface/ROUGE_LAYOUT,Options depuis le menu,FONCTIONNEL_PARTIEL — Contenu requis 775 px dans 720 px; bas coupé; options obligatoires manquantes,interfaces/04_options_depuis_menu.png,À DIAGNOSTIQUER (par écran),NON,"F (étape 9, conditionnel)",À TRAITER,—,—,—,—,rattaché à UI-001/UI-002 (lot F)
ui.05,INTERFACES_VERDICTS.csv,interface/ORANGE,HUD exploration,"FONCTIONNEL — Compact et lisible mais très textuel, icônes/glyphes incomplets",interfaces/05_hud_exploration.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.06,INTERFACES_VERDICTS.csv,interface/ORANGE,HUD notifications,FONCTIONNEL — Notifications lisibles; style provisoire et concurrence forte au centre haut,interfaces/06_hud_notifications.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.07,INTERFACES_VERDICTS.csv,interface/ORANGE,HUD verrouillage,"FONCTIONNEL — Cible et vie affichées, présentation encore minimale",interfaces/07_hud_verrouillage.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.08,INTERFACES_VERDICTS.csv,interface/ORANGE,Menu pause,FONCTIONNEL — Panneau lisible; notifications et carte d'arme restent actives derrière,interfaces/08_menu_pause.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.09,INTERFACES_VERDICTS.csv,interface/ROUGE_LAYOUT,Commandes depuis pause,FONCTIONNEL_PARTIEL — Même débordement vertical; dernière ligne coupée en 720p,interfaces/09_commandes_depuis_pause.png,À DIAGNOSTIQUER (par écran),NON,"F (étape 9, conditionnel)",À TRAITER,—,—,—,—,rattaché à UI-001/UI-002 (lot F)
ui.10,INTERFACES_VERDICTS.csv,interface/ROUGE_SCOPE,Inventaire de départ,"FONCTIONNEL_PARTIEL — Présentation correcte des armes, mais aucun ingrédient, plat, fragment ou découverte",interfaces/10_inventaire_depart.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.11,INTERFACES_VERDICTS.csv,interface/ORANGE,Cuisine stock vide,"FONCTIONNEL — Petit panneau top-left, très textuel, aucun visuel de plat ou ingrédient",interfaces/11_cuisine_stock_vide.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.12,INTERFACES_VERDICTS.csv,interface/ROUGE_SCOPE,Inventaire rempli,FONCTIONNEL_PARTIEL — Six armes et détail fonctionnent; autres familles toujours absentes,interfaces/12_inventaire_rempli_audit.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.13,INTERFACES_VERDICTS.csv,interface/ORANGE,Cuisine stock rempli,FONCTIONNEL — Sélection claire mais liste sans icônes ni comparaison visuelle,interfaces/13_cuisine_stock_rempli_audit.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.14,INTERFACES_VERDICTS.csv,interface/ORANGE,Aperçu recette,"FONCTIONNEL — Effets textuels exacts; manque résultat, vignette et hiérarchie finale",interfaces/14_cuisine_apercu_recette.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.15,INTERFACES_VERDICTS.csv,interface/ORANGE,Écran mort,FONCTIONNEL — Modal et relance claire; présentation très sobre sans cause détaillée,interfaces/15_ecran_mort.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.16,INTERFACES_VERDICTS.csv,interface/ORANGE,HUD boss,"FONCTIONNEL — Barre et nom lisibles; cadre, arène et climax encore provisoires",interfaces/16_hud_boss.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.17,INTERFACES_VERDICTS.csv,interface/ORANGE,Victoire non enregistrée,"FONCTIONNEL — Ne ment pas sur la victoire, mais écran abstrait sans image du monde",interfaces/17_victoire_non_enregistree.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.18,INTERFACES_VERDICTS.csv,interface/ROUGE_PRESENTATION,Victoire enregistrée,FONCTIONNEL — Texte exact et sorties disponibles; aucune conclusion visuelle de la vallée,interfaces/18_victoire_enregistree.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
ui.19,INTERFACES_VERDICTS.csv,interface/ORANGE,Confirmation recommencer,FONCTIONNEL — Confirmation honnête mais uniquement textuelle,interfaces/19_victoire_confirmation_recommencer.png,À DIAGNOSTIQUER (par écran),NON,hors tranche (UI),REPORTÉ AU BACKLOG,—,—,—,—,aucun nouvel écran pendant la tranche
